year ,Date ,total ,store_1,store_2,store_3,store_hq
2014,20140801,12636.36,3984.63,4369.15,4282.58,0
2014,20140802,12189.23,3976.64,4481.82,3730.77,0
2014,20140803,15438.38,7102.77,4389.46,3946.15,0
2014,20140804,14008.58,5231.46,4662.66,4114.46,0
2014,20140805,15608.58,4762.11,5605.12,5241.35,0
2014,20140806,21803.07,7498.92,8712.74,5591.41,0
2014,20140807,21731.22,7616.81,6389.65,7724.76,0
2014,20140808,14598.52,6519.29,4327.93,3751.30,0
2014,20140809,18230.42,7708.35,5741.54,4780.53,0
2014,20140810,23369.78,11921.16,5331.46,6117.16,0
2014,20140811,26750.54,11099.44,7512.50,8138.60,0
2014,20140812,60367.36,26497.50,14486.52,19383.34,0
2014,20140813,98735.75,40520.42,21849.99,36365.34,0
2014,20140814,157230.32,61286.28,45308.72,50635.32,0
2014,20140815,97408.34,40833.50,25425.34,31149.50,0
2015,20150801,16959,6019,5214,5726,0
2015,20150802,11215,4136,3947,3132,0
2015,20150803,12783,4094,4106,4583,0
2015,20150804,13101,4556,4722,3823,0
2015,20150805,19011,10495,4432,4084,0
2015,20150806,17258,5880,5283,6095,0
2015,20150807,26152,9955,8080,8117,0
2015,20150808,26151,9324,8591,8236,0
2015,20150809,21163,9654,6437,5072,0
2015,20150810,20600,9812,5776,5012,0
2015,20150811,28611,11349,9609,7653,0
2015,20150812,39566,17289,8908,13369,0
2015,20150813,73026,29264,14240,29522,0
2015,20150814,150269,67052,33856,49361,0
2015,20150815,138806,57882,31046,49878,0
2016,20160801,14807,4404,4642,2855,2906
2016,20160802,18734,5874,5454,4437,2969
2016,20160803,23175,7860,6927,4983,3405
2016,20160804,15930,3902,5976,3106,2946
2016,20160805,16492,4887,6027,3380,2198
2016,20160806,19581,7828,4975,4747,2031
2016,20160807,21747,5810,4552,4285,7100
2016,20160808,26749,11014,5133,6637,3965
2016,20160809,35832,10455,8486,12619,4272
2016,20160810,45540,17034,9082,11526,7898
2016,20160811,41657,14519,11946,9496,5696
2016,20160812,47071,16760,11916,11027,7368
2016,20160813,76270,22840,14395,18064,20971
2016,20160814,141082,44678,33084,35361,27959
2016,20160815,171113,55211,39838,47416,28648
2017,20170801,14283,3364,3934,4969,2016
2017,20170802,15803,3948,5147,3854,2854
2017,20170803,23536,6420,6167,5050,5899
2017,20170804,31974,9202,7159,7960,7653
2017,20170805,29120,6427,6132,10968,5593
2017,20170806,20823,5678,5697,5262,4186
2017,20170807,21785,5473,4602,5146,6564
2017,20170808,22776,4890,6642,6328,4916
2017,20170809,30702,12314,7672,7903,2813
2017,20170810,29121,10896,6755,5900,5570
2017,20170811,65599,17980,11660,16472,19487
2017,20170812,118654,30459,24758,31503,31934
2017,20170813,111293,27493,24690,29187,29923
2017,20170814,133550,38533,25911,35152,33954
2017,20170815,105605,31653,16938,32992,24022
2018,20180801,19390,4448,4649,5499,4794
2018,20180802,14197,2773,4520,2965,3939
2018,20180803,14574,3721,3851,3281,3721
2018,20180804,15964,3214,4325,4384,4041
2018,20180805,24689,4277,8702,6550,5160
2018,20180806,26193,6645,6153,7389,6006
2018,20180807,20949,4351,6145,5515,4938
2018,20180808,23171,5114,6349,6622,5086
2018,20180809,26042,8823,4955,5634,6630
2018,20180810,40445,12713,7162,9873,10697
2018,20180811,50372,16686,8285,9406,15995
2018,20180812,85026,22933,15153,20277,26663
2018,20180813,106581,31316,20942,25585,28738
2018,20180814,176117,47362,31509,49548,47698
2018,20180815,91904,27178,14725,30096,19905
